[2019-03-19 13:45:28,955: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_follow[15dc80d1-aeaf-4d4e-a3dd-8961b5f60426] succeeded in 0.03431163204368204s: 'Запущено 0 заданий'
[2019-03-19 13:45:48,982: WARNING/ForkPoolWorker-1] задание есть
[2019-03-19 13:45:49,003: DEBUG/ForkPoolWorker-1] USERAGENT: Instagram 26.0.0.10.86 Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G930F; herolte; samsungexynos8890; en_US)
[2019-03-19 13:45:49,014: WARNING/ForkPoolWorker-1] Потенциальный фолловер: _dream_girl_15_
[2019-03-19 13:45:49,015: DEBUG/ForkPoolWorker-1] REQUEST: https://i.instagram.com/api/v1/friendships/create/6060530039/ POST
[2019-03-19 13:45:49,016: DEBUG/ForkPoolWorker-1] DATA: b'ig_sig_key_version=4&signed_body=735128a2ad4a9aba266edaa18da4a0e640eb3caea6aaf2f2ad059f8d91829a28.%7B%22user_id%22%3A%226060530039%22%2C%22radio_type%22%3A%22wifi-none%22%2C%22_csrftoken%22%3A%22QG1JM8eGdMiz6rH6cDSKErSATWZtRZTS%22%2C%22_uuid%22%3A%224cc9c3bc-355d-11e9-b844-080027375973%22%2C%22_uid%22%3A%229221983535%22%7D'
[2019-03-19 13:45:49,637: DEBUG/ForkPoolWorker-1] RESPONSE: 200 {"friendship_status": {"following": true, "followed_by": false, "blocking": false, "muting": false, "is_private": true, "incoming_request": false, "outgoing_request": false, "is_bestie": false}, "status": "ok"}
[2019-03-19 13:45:49,637: WARNING/ForkPoolWorker-1] Фолловер добавлен
[2019-03-19 13:45:49,645: WARNING/ForkPoolWorker-1] Запись удалена из Acc_in_act
[2019-03-19 13:45:49,646: WARNING/ForkPoolWorker-1] Завершение ф-ции фолловинга
[2019-03-19 13:45:55,694: INFO/ForkPoolWorker-1] Task main.tasks.follow_it[b3550260-8baa-4a29-9124-9c22dcc16bb9] succeeded in 6.735428428975865s: 'Фолловинг совершен'
[2019-03-19 13:45:58,960: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_follow[f4fe5c6f-f0b1-4d7a-afe1-c356181f29ef] succeeded in 0.023547425982542336s: 'Запущено 0 заданий'
[2019-03-19 13:46:13,956: WARNING/ForkPoolWorker-1] запускаем процесс лайка на пользовател kabluchki_shop (ID задания 540)
[2019-03-19 13:46:17,978: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_like[3a194ef5-54f9-4459-8406-530c5613f0b1] succeeded in 4.049835285986774s: 'Запущено 1 заданий'
[2019-03-19 13:46:28,990: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_follow[1e9b1a6a-d3e5-4efd-bf04-9722ef016bc7] succeeded in 0.04318538401275873s: 'Запущено 0 заданий'
[2019-03-19 13:46:59,011: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_follow[3bc53114-8f7f-4557-94f6-3a22a57520c4] succeeded in 0.04543268389534205s: 'Запущено 0 заданий'
