[2019-03-21 19:32:50,980: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:32:51,089: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:32:51,096: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:33:06,003: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:33:11,057: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:33:20,980: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:33:20,985: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:33:31,096: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:33:31,108: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:33:46,058: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:33:50,980: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:33:51,097: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:33:51,112: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:34:11,119: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:34:11,125: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:34:21,059: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:34:21,063: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:34:21,100: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:34:36,131: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:34:51,125: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:34:51,136: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:34:51,150: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:34:51,189: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:34:56,059: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:35:21,152: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:35:21,158: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:35:21,189: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:35:31,126: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:35:31,189: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:35:31,203: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
